Timestamp,Price,Market Cap,24h Volume,Coin
2014-02-16,613.85,7614456286.0,24104900.0,BTC
2014-02-17,645.14,8005429360.0,48516100.0,BTC
2014-02-18,625.01,7758139753.0,22066400.0,BTC
2014-02-19,620.99,7711283048.0,13276100.0,BTC
2014-02-20,593.89,7377405511.0,35743400.0,BTC
2014-02-21,582.75,7241455462.0,56059000.0,BTC
2014-02-22,571.06,7098404288.0,21675800.0,BTC
2014-02-23,622.97,7746491782.0,44590700.0,BTC
2014-02-24,572.39,7120130927.0,47229500.0,BTC
2014-02-25,489.31,6088839080.0,111102000.0,BTC
2014-02-26,567.25,7061198906.0,75039300.0,BTC
2014-02-27,586.28,7300959497.0,38219000.0,BTC
2014-02-28,567.2,7065922360.0,24649000.0,BTC
2014-03-01,560.11,6979712746.0,22903800.0,BTC
2014-03-02,561.35,6997269851.0,11143900.0,BTC
2014-03-03,585.79,7304054418.0,33049800.0,BTC
2014-03-04,675.0,8418886875.0,86124600.0,BTC
2014-03-05,658.24,8212712376.0,26946700.0,BTC
2014-03-06,654.55,8169324004.0,16659800.0,BTC
2014-03-07,617.62,7711032022.0,29823000.0,BTC
2014-03-08,610.37,7623170337.0,21353000.0,BTC
2014-03-09,636.17,7947989895.0,15489000.0,BTC
2014-03-10,621.17,7763134192.0,16425700.0,BTC
2014-03-11,624.23,7803983008.0,12542300.0,BTC
2014-03-12,638.07,7979719372.0,20806300.0,BTC
2014-03-13,639.03,7994472985.0,12866600.0,BTC
2014-03-14,629.67,7879611671.0,11939800.0,BTC
2014-03-15,638.07,7987471922.0,5963930.0,BTC
2014-03-16,629.55,7883319532.0,4834240.0,BTC
2014-03-17,623.705,7812934238.0,13371500.0,BTC
2014-03-18,612.622,7676276184.0,23217800.0,BTC
2014-03-19,610.636,7653772688.0,15227500.0,BTC
2014-03-20,592.07,7423640092.0,20048500.0,BTC
2014-03-21,582.303,7303695511.0,38053400.0,BTC
2014-03-22,561.22,7041711523.0,17983700.0,BTC
2014-03-23,567.779,7127031703.0,10283000.0,BTC
2014-03-24,571.418,7175538679.0,17185800.0,BTC
2014-03-25,582.55,7317439677.0,18634700.0,BTC
